,GradCAM,GradCAMPP,Saliency,DeconvNet,GradientInput,GuidedBackprop,IntegratedGradients,SmoothGrad,SquareGrad,VarGrad,Occlusion,Rise,KernelShap,Lime
Deletion,0.22754628956317902,0.223842591047287,0.17749997973442078,0.21375000476837158,0.21388888359069824,0.21375000476837158,0.13111111521720886,0.13111111521720886,0.13111111521720886,0.13111111521720886,0.17462964355945587,0.13111111521720886,0.22879628837108612,0.2101851999759674
Insertion,0.7699074149131775,0.7653241157531738,0.8195369839668274,0.7875000238418579,0.7884259819984436,0.7875000238418579,0.8812963366508484,0.9488889575004578,0.9383333325386047,0.92083340883255,0.824999988079071,0.9374537467956543,0.7842129468917847,0.8001852035522461
MuFidelity,-0.014285007700886245,-0.01182210960653722,0.006309215023745697,0.4674603552758681,0.599060464378076,0.4654232769326165,0.7218959806856609,0.5850650320490128,0.6562010320039503,0.6680607181842267,0.014047101404678259,0.011840787682999239,-0.013537586720304248,-0.010282186208683854
CosSim,0.12251813336163693,0.11873600703850531,0.3293115553640471,0.6082266720198815,0.7439600029132654,0.6082266720198815,0.8796810394619656,0.711385574081027,0.4750219889803877,0.48032941578568583,0.17026119347724844,0.13161490091122321,0.18084628917375356,0.18300931012454133
_CosSim,0.11953815775829864,0.11575603143516702,0.3252532520310437,0.5698607170405836,0.7000986645147311,0.5698607170405836,0.8772475806598481,0.7091078884031694,0.4722028032326288,0.4796000857829183,0.16668057375864548,0.13161490091122321,0.18084628917375356,0.18300931012454133
SSIM,0.2163986318741722,0.14663502003011766,0.6699060279066089,0.8871216773986816,0.9169099926948547,0.8871216773986816,0.9341143369674683,0.9129990339279175,0.891767680644989,0.8871183395385742,0.668729133486617,0.00846315754135362,0.1491081800730599,0.13934588584366558
Conciseness,0.40980195473251035,0.2829758230452676,0.6656610082304526,0.6881069958847734,0.9528806584362137,0.6881069958847734,0.8734302126200273,0.034647633744855966,0.05609567901234567,0.04908693415637859,0.9305452674897111,0.0,0.0003189300411522634,0.0
F1,0.1603820324066551,0.14479273837697976,0.4672489820793066,0.4401216338477563,0.33407079400854417,0.4401216338477563,0.17104122267494307,0.05948318421088143,0.07457153487211346,0.06941151123523454,0.5802672050875745,0.16359298478572842,0.1635195189358422,0.16359298478572842
MAE,0.26699420257620565,0.31616620755947705,0.054796011599059925,0.015915622321752705,0.010027759070333995,0.015915622321752705,0.007988991593879264,0.014321463519164968,0.01332689970246391,0.014063358185235,0.076529385325433,0.595396386846534,0.40115763827663625,0.4010657643599763
IoU,0.09204810355162432,0.08204704666703676,0.3972368827160492,0.38186355285190415,0.2308115461043378,0.38186355285190415,0.10208861229257071,0.03336802936265067,0.0495759202533082,0.04229925056984023,0.4579353147151569,0.09295267489711931,0.09291212606961584,0.09295267489711931
PR,0.22150048119402072,0.19929917111776296,0.662716049382716,0.5683043661650817,0.585342138990159,0.5683043661650817,0.16406208264138952,0.04295489449649144,0.06074759945130316,0.05719821673525377,0.6737106481481481,0.09295267489711934,0.09291466264084056,0.09295267489711934
RE,0.7766458333333334,0.821202380952381,0.6786875,0.6759999999999999,0.34798554421768707,0.6759999999999999,0.4406349914965986,0.9691785714285714,0.9655133928571429,0.9651160714285714,0.6227936507936508,1.0,0.999125,1.0
EBPG,0.2954419255256653,0.2695253789424896,0.8954618573188782,0.8127042651176453,0.8143349885940552,0.8127042651176453,0.9363340139389038,0.9501029849052429,0.9569666981697083,0.9524755477905273,0.674636721611023,0.12615787982940674,0.12103960663080215,0.11833222955465317
RRA,0.5484467120181405,0.5137383786848073,0.8996398809523811,0.9008005952380953,0.8126917517006802,0.9008005952380953,0.4872542517006804,0.8942187500000001,0.9064019982993197,0.9038199404761904,0.9962500000000001,0.6870959467120183,0.346219246031746,0.35085558390022675
soft_PR_abs,0.2954419255256653,0.2695253789424896,0.8954618573188782,0.8127042651176453,0.8143349885940552,0.8127042651176453,0.9363340139389038,0.9501029849052429,0.9569666981697083,0.9524755477905273,0.674636721611023,0.12615787982940674,0.12103960663080215,0.11833222955465317
soft_RE_abs,0.5948313271335293,0.6333431599515904,0.4325025956121159,0.4317417073819455,0.1984464606976561,0.4317417073819455,0.2441057098732149,0.48647509966154373,0.3945048343177586,0.4389766993138468,0.6204960312506779,0.8509027453569058,0.4778081256889162,0.47689511984154204
