,GradCAM,GradCAMPP,Saliency,DeconvNet,GradientInput,GuidedBackprop,IntegratedGradients,SmoothGrad,SquareGrad,VarGrad,KernelShap,Occlusion,Rise
Deletion,0.25627297163009644,0.28069397807121277,0.31149035692214966,0.37404337525367737,0.20880210399627686,0.419472336769104,0.18880613148212433,0.4013884663581848,0.32432135939598083,0.35021254420280457,0.38495633006095886,0.131621852517128,0.17122532427310944
Insertion,0.5934581160545349,0.5611732006072998,0.4624983072280884,0.40315645933151245,0.44452011585235596,0.43566492199897766,0.49087443947792053,0.3400932252407074,0.47444841265678406,0.4045783281326294,0.45855820178985596,0.29375749826431274,0.6215779781341553
CosSim,0.3524209319141923,0.3761692325186041,0.33497893665892375,0.030810470096008492,0.00260715714059144,0.02475049365517276,0.010788854481129094,0.0019633691849447513,0.15168013569499603,0.15314203907806553,0.02494535630315186,0.111076485560013,0.3539665129199538
_CosSim,0.3524209319141923,0.3761692325186041,0.33497893665892375,-0.030633424926095977,-0.00039518464916975796,-0.0035334506199492005,0.009868018912651369,-6.745920240452477e-05,0.15168013569499603,0.15314203907806553,0.024160322228850346,0.07755533369187663,0.3539665129199538
SSIM,0.3955872508218095,0.5541297507188316,0.21987137950226274,0.17972244322299957,0.5946360230445862,0.6589288115501404,0.6081258058547974,0.5078392624855042,0.7580772638320923,0.7076628804206848,0.29758970982901145,0.3272142196145652,0.12717906718564648
Conciseness,0.2969535640343094,0.5139012126589767,0.0,5.776767228630582e-07,0.0,2.9461512866015974e-05,0.0,0.0,0.0,0.0,0.0,0.1230899119158534,0.0
F1,0.26922917476585184,0.31982058063256436,0.24517032974190564,0.24516976893576067,0.24517032974190564,0.2451728712671832,0.24517032974190564,0.24517032974190564,0.24517032974190564,0.24517032974190564,0.24517032974190564,0.24963850700984536,0.24517032974190564
MAE,0.25603812541606674,0.21209242110557944,0.187463724743692,0.23212188406262899,0.17693748659634392,0.17277077829402568,0.1752641662616836,0.18445749886920554,0.1594084402174884,0.1622570478756101,0.23966436204458688,0.2092976117071574,0.7409298323487441
IoU,0.17533906953469264,0.2161323227762315,0.15780943831336883,0.15780886063664598,0.15780943831336883,0.15781110913092397,0.15780943831336883,0.15780943831336883,0.15780943831336883,0.15780943831336883,0.15780943831336883,0.16069595311375934,0.15780943831336883
PR,0.18795073349813204,0.24651460953357154,0.15780943831336883,0.15780911211380505,0.15780943831336883,0.15781159795757135,0.15780943831336883,0.15780943831336883,0.15780943831336883,0.15780943831336883,0.15780943831336883,0.16759945323133518,0.15780943831336883
RE,0.8253927152701742,0.7652605724836696,1.0,0.9999986730677877,1.0,0.9999966012244585,1.0,1.0,1.0,1.0,1.0,0.8891490378434497,1.0
EBPG,0.24027365446090698,0.31147414445877075,0.2139904499053955,0.18177969753742218,0.2108810991048813,0.3114752769470215,0.23112350702285767,0.21536053717136383,0.2580222487449646,0.19987186789512634,0.1576324999332428,0.2041320502758026,0.16243529319763184
