,GradCAM,GradCAMPP,Saliency,DeconvNet,GradientInput,GuidedBackprop,IntegratedGradients,SmoothGrad,SquareGrad,VarGrad,KernelShap,Occlusion,Rise
Deletion,108.80931563999341,46.18074237436488,48.39319768159286,49.99682523202205,50.13957576475282,50.12948616691258,50.228934357131735,50.12641782345979,49.703183381453805,49.08158122629359,48.527389332868054,46.37353662131489,45.985277148260586
Insertion,46.471554300059445,46.14545642465785,48.6840856248054,50.0038326650426,50.036727518275164,49.82207823490751,49.984679705854774,49.83079260674076,49.63548287101414,49.0092851113582,48.86054301607436,45.39248563241267,44.960153275641844
CosSim,2.656729325004246,1.4795289523359658,0.04717578058657439,0.08751689523890399,0.08710570957349695,0.08684655894403873,0.09032263272050498,0.08423432059909987,0.08220257966414742,0.07936919944873755,0.04517513772715693,0.04540319028108016,0.0447708627452021
_CosSim,0.04855100659356601,0.038889871127363564,0.03980553668478261,0.1790005227793818,0.18196866132210995,0.17779806385869565,0.18433902574622113,0.18122576285099637,0.18991940263388812,0.18294306768887286,0.03819880278214165,0.03664735434711843,0.0340454820273579
SSIM,2.7865741563879927,2.908658290254897,2.8367940930352695,7.891948672308438,8.04334447003793,7.831055185069209,7.944573526797087,7.9925405806389405,7.969659307728643,7.954479991525844,2.818964529728544,2.826524817425272,2.792804137520168
Conciseness,0.015338261922200521,0.014647193576978601,0.014871790789175724,0.028468560481417007,0.02886592477991961,0.028205954510232677,0.028057374816009964,0.028814094654027966,0.02915617348491282,0.02816449040951936,0.014605729476265285,0.015044557875481205,0.014671380969061367
F1,5.509614944458008,5.507413891778476,5.402399146038553,13.493396233821262,13.521273930867514,13.546086739802707,13.555136279783387,13.46812040909477,13.560492059458857,13.465888258339703,5.411427953968877,5.50370631010636,5.366394485252491
MAE,0.5813716114431188,0.5676815475242726,0.5832651387090269,1.0551231494848279,1.040842222130817,1.0793001755424168,1.0432125865549282,1.0627801867498867,1.0694178982057434,1.1059374049089956,0.5769384080085201,0.5840184032053187,0.5625054456185603
IoU,5.389527998108795,5.397433819978134,5.259496578271838,13.399079226065373,13.42726444852525,13.481423474740291,13.4670527085014,13.42852564825528,13.442205346148947,13.438380282858144,5.2201782447704375,5.332317905149598,5.209407944610153
PR,5.576880081840184,5.608479181925456,5.4369594739831015,13.574835182963938,13.598531916521598,13.525461805039559,13.734758764073469,13.545927794083305,13.56950359068055,13.554127319999363,5.4796674977178155,5.554226861483809,5.454588627469713
RE,5.611685739047285,5.5639709251514375,5.488592645396357,13.56750640316286,13.640317364015441,13.564455336418705,13.588027677674225,13.569634893666143,13.66399682086447,13.580322265625,5.429095116214476,5.548166192096213,5.446264709251515
