,GradCAM,GradCAMPP,Saliency,DeconvNet,GradientInput,GuidedBackprop,IntegratedGradients,SmoothGrad,SquareGrad,VarGrad,KernelShap,Occlusion,Rise
Deletion,106.12128091895062,45.87291634601095,48.119849052982055,49.927189730215765,49.914550090181656,49.756046654521555,50.12091691943183,50.04778461179872,49.61339287135912,48.961259316707,48.557823982791625,45.97912318464638,46.73232894012894
Insertion,46.7025611711585,45.8483730537304,48.15882530765257,50.0042956808339,50.05138507787732,49.60455756256546,50.19640577012214,49.68226128730221,49.46143730827,48.86485182720682,48.52653240811998,45.17785362575365,45.398200767627664
CosSim,0.04791867905768795,0.045182048410609146,1.2416770492774853,0.09039519489675328,0.08513270944788837,0.08582377779311028,0.08542986883633379,0.08209546407063802,0.08464205092278079,0.08080662160679913,0.04555176997530288,0.045074932817099754,0.04579018855440444
_CosSim,0.03944963648699332,0.04531680673792742,8.642790974050328,0.3202929013017295,0.17542424409285837,0.17490939817566803,0.17890031786932462,0.17715191495591315,0.17669235450634058,0.20568958227185236,0.0371760216312132,0.037165655606034874,0.03701362057008605
SSIM,2.8526886649753735,2.8714822686236836,2.7854373489601025,7.937687030736951,7.893496665401735,7.9675619153008945,7.9477835392606435,8.148646009141121,7.930479187896286,8.04373492365298,2.8155575627866,2.812924592391304,2.8820383375969487
Conciseness,0.015075655951016191,0.014899433522984602,0.017556591310362885,0.02719699472620867,0.027082968449247055,0.026035999906235847,0.026239865068076313,0.02828197202820709,0.026492105014082314,0.02670633620110111,0.01439840897269871,0.014633372210074162,0.014968540357506794
F1,5.58963720349298,5.671729212221892,5.537717238716457,13.561310975447945,13.57600654380909,13.603649277617967,13.522061748781066,13.560353845789813,13.506308845851732,13.525676036226576,5.4672351781872734,5.569492561229761,5.602079889048701
MAE,0.5925150885098223,0.5977257438327955,0.6279012431269106,1.0898907979329426,1.080917275470236,1.0484094205109968,1.036111859307773,1.068146332450535,1.0516228883162788,1.0686300802921904,0.5769522293754246,0.5905593650928442,0.5833100581514663
IoU,5.343043285867442,5.38761373879253,5.354058915290279,13.407904168833857,13.454499452010445,13.404507567917092,13.372061909108922,13.474816861359969,13.38175414265066,13.4091273598049,5.208872366642606,5.298797635064608,5.25760305100593
PR,5.5959259254345,5.599446918653405,5.4977285689201905,13.54552351910135,13.580498488053031,13.556898504063703,13.535302618275518,13.467947642008463,13.527310412863027,13.524798379428145,5.481194758760756,5.556666332742442,5.532800287440203
RE,5.572446878405585,5.590590877809387,5.462287128835484,13.549282930899357,13.609903446142225,13.618928798730822,13.552568960880887,13.51372746453769,13.5201474894648,13.550312622733738,5.444018737129543,5.5727094843767695,5.635068036507869
EBPG,0.15993394713470901,0.1622317493825719,0.18046904301297836,0.4783540532208871,0.47918333523515344,0.48408992048622906,0.48492611318394757,0.487776770107988,0.4878251448921535,0.48492611318394757,0.1751512720964957,0.17938061036925385,0.17989200094471808
RRA,0.4787790602531986,1.1827703835307688,0.41048423103664233,1.1928910794465437,1.1684065279753313,1.132018324257671,1.1781955110853997,1.1892560599506765,1.1720726455467334,1.082866088203762,0.438406847525334,0.4051941028539685,0.32305371934089105
soft_PR_abs,0.15876604163128397,0.162235204724298,0.17158190409342447,0.48359235127766925,0.48291164895762567,0.487966813902924,0.4850885142450747,0.4761806432751642,0.4534064859583758,0.45623295549033344,0.15300598697385925,0.17708971880484317,0.1754380654597628
soft_RE_abs,0.20850223043690558,0.21116284356600995,0.19947342250658118,0.5444409190744594,0.5417111991108328,0.5673152813013049,0.5548276763031448,0.5736109139262766,0.5370395770971326,0.5643436874168507,0.2229524695354959,0.21267628324204596,0.21275230076002039
soft_F1_abs,0.25372228760650195,0.23482847904813461,0.24271011352539062,0.7112820943196615,0.7206253383470618,0.7277744403783826,0.7189114888509115,0.7123601609382076,0.7346194723378057,0.7025849991950436,0.2592784771020862,0.26125838791114697,0.2684282219928244
soft_PR_pos,0.17158190409342447,0.17627771349920743,0.17945662788722827,0.4812599956125453,0.48364763674528705,0.509213710176772,0.4933917004129161,0.49775925235471863,0.47398995662081067,0.48951826233794726,0.17509598662887793,0.17845457878665646,0.17452585524406986
soft_RE_pos,0.21872658660446387,0.20788372426793195,0.19593515257904495,0.5403394284455673,0.5809293277021768,0.6015197090480638,0.5444892938586249,0.5595545837844628,0.5359131356944209,0.5620355191438094,0.19905532615772192,0.2313247625378595,0.2171474954356318
soft_F1_pos,0.27261955150659534,0.25916790616685065,0.25765792183254077,0.6896343784055848,0.6883317145748414,0.6951456484587296,0.6806954093601393,0.7067417752915535,0.693110452182051,0.7065033567124519,0.25686664857726166,0.2545826676963032,0.2630137015080106
