,GradCAM,GradCAMPP,Saliency,DeconvNet,GradientInput,GuidedBackprop,IntegratedGradients,SmoothGrad,SquareGrad,VarGrad,KernelShap,Occlusion,Rise
Deletion,110.32455209372701,45.791860939799875,48.82555422575577,49.823833548504375,49.97339110443558,49.82206786888233,49.88489289214645,50.0105429386747,49.589336782261945,49.00323480799578,48.6482226330301,46.343523523081906,46.340050904647164
Insertion,46.176357545714446,46.23270034790039,48.31089144167693,50.04212821739307,49.926315528759055,49.82555085334225,50.0053806581359,49.983425416808196,49.33185162751571,49.07029608021612,48.98169420767522,45.29914303102355,45.36044424858646
CosSim,2.7662463810132896,0.046982281449912254,0.04518550375233526,6.090855252915534,0.08623150811679121,3.9767182391622793,0.08605528568875963,0.08733030678569406,0.08522945901621944,0.08579959040102751,0.0446602918099666,0.0450922095257303,0.04353385040725487
_CosSim,0.0560318214305933,0.03921812859134398,0.038914058519446335,5.989150724549225,0.3242561782615772,4.328257795693218,0.18039993617845618,0.18170951069265173,0.17786371535149173,0.17661979233009228,0.037093093429786575,0.03556237704512002,0.033928000408670174
SSIM,2.8728540392889492,2.7985400047855102,2.7900018553802934,8.249324301014775,7.933167443759199,7.9171208367831465,7.91296060534491,7.964061654132346,7.876133573228034,7.932044457698214,2.796525540559188,2.8153778850168423,2.7899189271788667
Conciseness,0.015535216400588768,0.015162039494168932,0.01508256663446841,0.029249467711517776,0.028565310049748074,0.029460243556810463,0.028475471164869225,0.029425690139549366,0.028627506200818047,0.02845473911451257,0.014868335447449615,0.015210414278334465,0.014965085015780684
F1,5.594923876333928,5.513077196867569,5.3773824719415195,13.597281082816746,13.673080914262412,13.687503510627193,13.477138850999916,13.480369595513828,13.536670933599057,13.498313185097516,5.3473106328991875,5.485672881637794,5.386504574098449
MAE,0.6060773047848024,0.5771733712458956,0.5779335464256398,1.0246435801188152,1.014616178429645,1.0218171105868574,1.028575759003128,1.0453134343244028,1.0395775670590608,1.0211018548495527,0.5808636762093806,0.5661128223806188,0.563158505204795
IoU,5.319481310637101,5.340897518655528,5.212835643602454,13.450926628665648,13.4920382845229,13.388340023980625,13.399587161299111,13.42133853746497,13.426476630611695,13.368126274882883,5.192995071411133,5.299374677132869,5.230793054553046
PR,5.5349840634111045,5.56176641713018,5.424969438193501,13.608106668444647,13.592015142026154,13.551667116690373,13.577651286470717,13.661097789156264,13.681346091671266,13.539172601008762,5.475075348563816,5.540194718734078,5.435059036033741
RE,5.5406853772591855,5.569295606751373,5.431216696034307,13.593791187673375,13.540758602861045,13.589845187422158,13.59179745549741,13.65816074868907,13.615563295889592,13.56406833814538,5.441731300906858,5.513744077820709,5.4256777832473535
EBPG,0.18329551254493603,0.17349270806796308,0.1576603322789289,0.4548473634581635,0.47576254692630493,0.4777390023936396,0.4839966262596241,0.4341602325439453,0.4868403725002123,0.474473704462466,0.17618096393087637,0.1559672148331352,0.157978223717731
