,GradCAM,GradCAMPP,Saliency,DeconvNet,GradientInput,GuidedBackprop,IntegratedGradients,SmoothGrad,SquareGrad,VarGrad,KernelShap,Occlusion,Rise
Deletion,0.25866276025772095,0.2849300503730774,0.30656781792640686,0.28864631056785583,0.1902969479560852,0.3597119450569153,0.1737099140882492,0.28918302059173584,0.32728779315948486,0.3543105125427246,0.32451653480529785,0.1609594076871872,0.1684010773897171
Insertion,0.5464200377464294,0.5147831439971924,0.3870214819908142,0.31032174825668335,0.3382236361503601,0.33127251267433167,0.3971934914588928,0.29009684920310974,0.3860909640789032,0.3640192449092865,0.39439237117767334,0.34086018800735474,0.6060332655906677
CosSim,0.2740678457057626,0.3507238599375066,0.3017884216445091,0.026976357585146316,0.003341538168943533,0.02089313366936874,0.009972342007880563,0.001845721844454165,0.14395574977731096,0.1469188343089182,0.026159838306106954,0.1081994044478863,0.30534018755447784
_CosSim,0.2740678457057626,0.3507238599375066,0.3017884216445091,-0.026910674092314114,-0.0008147097342699265,-0.009785520966332213,0.008283396153133475,0.0008316138118410239,0.14395574977731096,0.1469188343089182,0.02410924757666121,0.07644082192609511,0.30534018755447784
SSIM,0.38032623469910803,0.5544118026403344,0.23060218044388706,0.18844439089298248,0.6128981113433838,0.6935631036758423,0.6064729690551758,0.5301235318183899,0.7910409569740295,0.7318952679634094,0.3271725073388102,0.3353952795923176,0.11238774077767792
Conciseness,0.29029872818692687,0.5103519668737058,0.0,5.776767228630582e-07,0.0,3.0616866311742096e-05,0.0,0.0,0.0,0.0,0.0,0.12852440568618761,0.0
F1,0.19936866260350458,0.25693383436502476,0.2016214762994176,0.2016215338989709,0.2016214762994176,0.201620693353959,0.2016214762994176,0.2016214762994176,0.2016214762994176,0.2016214762994176,0.2016214762994176,0.19272114008723085,0.2016214762994176
MAE,0.25800113382658807,0.2021160443919215,0.16878841593649263,0.2112590767939573,0.1562526137281446,0.15070715354497022,0.1561703769360021,0.16312515173623732,0.13780568860202844,0.14070679681776357,0.20641509604349695,0.18890096762039835,0.7558864592403064
IoU,0.1305454359688256,0.16765916281466683,0.13603218121487726,0.13603221330291143,0.13603218121487726,0.13603091403485817,0.13603218121487726,0.13603218121487726,0.13603218121487726,0.13603218121487726,0.13603218121487726,0.13065203438191514,0.13603218121487726
PR,0.14364018022195543,0.20080816947985902,0.13603218121487726,0.13603221330291143,0.13603218121487726,0.13603271248528562,0.13603218121487726,0.13603218121487726,0.13603218121487726,0.13603218121487726,0.13603218121487726,0.13317257919466532,0.13603218121487726
RE,0.7620288683254632,0.7673639622943871,1.0,1.0,1.0,0.9999820789207475,1.0,1.0,1.0,1.0,1.0,0.8776969494623966,1.0
EBPG,0.18403367698192596,0.2583394944667816,0.1847914755344391,0.1545535773038864,0.17562735080718994,0.2685692608356476,0.18361158668994904,0.18693971633911133,0.23747877776622772,0.19128580391407013,0.14043137431144714,0.1749802529811859,0.13793164491653442
RRA,0.214549415679713,0.32559330630653954,0.2300587293184726,0.16122597730378282,0.1905362097561496,0.3036361408718676,0.20467267814567988,0.21944262066835268,0.22068767203762502,0.17814382989367222,0.13768102921692857,0.28209894308674693,0.31618688100110276
soft_PR_abs,0.18403367698192596,0.2583394944667816,0.1847914755344391,0.1545535773038864,0.17562735080718994,0.2685692608356476,0.18361158668994904,0.18693971633911133,0.23747877776622772,0.19128580391407013,0.14043137431144714,0.1749802529811859,0.13793164491653442
soft_RE_abs,0.2817328308885667,0.3479952628648233,0.0769010384910394,0.09576714929841298,0.034437445906277446,0.04923603417037122,0.038244930715209055,0.050404625957100484,0.006858563780946516,0.010134775479564373,0.0830140220801328,0.08810552929897651,0.8766461914950441
soft_F1_abs,0.1683568008663023,0.22416138992252407,0.0801199843001322,0.08515615238088467,0.04391086838633262,0.06793540693338536,0.04714397803736727,0.060365167202992426,0.012169991695090086,0.016875034953877387,0.063239490407091,0.08171521785271864,0.19693663414794804
soft_PR_pos,0.18403367698192596,0.2583394944667816,0.1847914755344391,0.15449440479278564,0.17513315379619598,0.26360461115837097,0.18646232783794403,0.1872253566980362,0.23747877776622772,0.19128580391407013,0.1427704393863678,0.18461012840270996,0.13793164491653442
soft_RE_pos,0.2817328308885667,0.3479952628648233,0.0769010384910394,0.04227826326139156,0.017221999113674426,0.023720425305899073,0.01986809258852698,0.025326155925802844,0.006858563780946516,0.010134775479564373,0.046178621529407216,0.05106896816510057,0.8766461914950441
soft_F1_pos,0.1683568008663023,0.22416138992252407,0.0801199843001322,0.04963205151469822,0.025281405499910616,0.03760363267900068,0.02848468066270667,0.035828837464156646,0.012169991695090086,0.016875034953877387,0.044367983479146084,0.061801121966910226,0.19693663414794804
