,GradCAM,GradCAMPP,Saliency,DeconvNet,GradientInput,GuidedBackprop,IntegratedGradients,SmoothGrad,SquareGrad,VarGrad,KernelShap,Occlusion,Rise
RE,0.8189398486998861,0.7615096964024964,1.0,1.0,1.0,0.9999934685909705,1.0,1.0,1.0,1.0,1.0,0.8781309738204065,1.0
EBPG,0.23736821115016937,0.29277148842811584,0.21703264117240906,0.19122746586799622,0.23047609627246857,0.3191840648651123,0.24342527985572815,0.21874810755252838,0.2670372426509857,0.2141539603471756,0.16617833077907562,0.24709707498550415,0.16781847178936005
RRA,0.30710414647490747,0.3939601428441498,0.2682003571312598,0.19844007627453755,0.24410190952666805,0.35883916397773363,0.2609659990065356,0.2533080143139844,0.25056645954225626,0.21344149088873693,0.16609773035520015,0.29657028456931694,0.3602271748649823
soft_PR_abs,0.23736821115016937,0.29277148842811584,0.21703264117240906,0.19122746586799622,0.23047609627246857,0.3191840648651123,0.24342527985572815,0.21874810755252838,0.2670372426509857,0.2141539603471756,0.16617833077907562,0.24709707498550415,0.16781847178936005
soft_RE_abs,0.3341758323854936,0.3555162802140904,0.08112386486605146,0.09674426536301893,0.03414017317139064,0.04751074160233855,0.03679671959664971,0.05257602351797262,0.007229089739803642,0.009031410406111797,0.09537408365233585,0.08733379198556157,0.8976482725420732
soft_F1_abs,0.2232790675875236,0.24939949645070036,0.09363806502482282,0.0994684456753251,0.05032042293422923,0.0712625630678238,0.05366620676436575,0.06920675203639887,0.013263618589916716,0.01631958330739145,0.08498241506546908,0.09190701346820256,0.24725347202863376
soft_PR_pos,0.23736821115016937,0.29277148842811584,0.21703264117240906,0.19133460521697998,0.23063251376152039,0.31083765625953674,0.24571645259857178,0.2188619077205658,0.2670372426509857,0.2141539603471756,0.16583815217018127,0.2704299986362457,0.16781847178936005
soft_RE_pos,0.3341758323854936,0.3555162802140904,0.08112386486605146,0.042488231564709045,0.01701899373346725,0.02266004899056766,0.018641900303462973,0.026466590128925837,0.007229089739803642,0.009031410406111797,0.052480590854286864,0.05377937567109535,0.8976482725420732
soft_F1_pos,0.2232790675875236,0.24939949645070036,0.09363806502482282,0.056167951997476484,0.0282019940554756,0.038164589741884185,0.03084522740655919,0.040331792290700504,0.013263618589916716,0.01631958330739145,0.05875864045446302,0.0705936437306982,0.24725347202863376
soft_PR_neg,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.07246376811594203,1.0
soft_RE_neg,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
soft_F1_neg,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.07246376811594203,1.0
_soft_PR_abs,0.23736821115016937,0.29277148842811584,0.21703264117240906,0.19122746586799622,0.23047609627246857,0.3191840648651123,0.24342527985572815,0.21874810755252838,0.2670372426509857,0.2141539603471756,0.16617833077907562,0.24709707498550415,0.16781847178936005
_soft_RE_abs,0.33417585492134094,0.355516254901886,0.08112386614084244,0.09674425423145294,0.03414018079638481,0.04751073941588402,0.03679671883583069,0.05257602781057358,0.007229090668261051,0.00903141126036644,0.09537407755851746,0.0873337909579277,0.8976482152938843
_soft_F1_abs,0.22327907383441925,0.24939951300621033,0.09363805502653122,0.09946843981742859,0.050320420414209366,0.07126254588365555,0.05366620421409607,0.06920674443244934,0.013263615779578686,0.016319582238793373,0.08498241752386093,0.09190703183412552,0.24725350737571716
_soft_PR_pos,0.23736821115016937,0.29277148842811584,0.21703264117240906,0.19133460521697998,0.23063251376152039,0.31083765625953674,0.24571645259857178,0.2188619077205658,0.2670372426509857,0.2141539603471756,0.16583815217018127,0.2704299986362457,0.16781847178936005
_soft_RE_pos,0.33417585492134094,0.355516254901886,0.08112386614084244,0.04248823598027229,0.01701899617910385,0.02266005240380764,0.018641898408532143,0.02646658942103386,0.007229090668261051,0.00903141126036644,0.052480585873126984,0.053779371082782745,0.8976482152938843
_soft_F1_pos,0.22327907383441925,0.24939951300621033,0.09363805502653122,0.05616794899106026,0.028201989829540253,0.038164593279361725,0.030845221132040024,0.04033178836107254,0.013263615779578686,0.016319582238793373,0.05875863879919052,0.07059364765882492,0.24725350737571716
_soft_PR_neg,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.07246376811594203,1.0
_soft_RE_neg,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
_soft_F1_neg,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.07246376811594203,1.0
Atten_C,0.23736821115016937,0.29277148842811584,0.21703264117240906,0.19122746586799622,0.23047609627246857,0.3191840648651123,0.24342527985572815,0.21874810755252838,0.2670372426509857,0.2141539603471756,0.16617833077907562,0.24709707498550415,0.16781847178936005
Atten_NC,0.7626316547393799,0.7072283625602722,0.7829672694206238,0.808772623538971,0.7695239782333374,0.6808158159255981,0.7565747499465942,0.7812520265579224,0.7329626679420471,0.7858461737632751,0.833821713924408,0.7529030442237854,0.8321815729141235
cpa!=,0.2373682389795866,0.2927714871787415,0.21703265593308255,0.1912274476093175,0.23047611840697643,0.31918410664227986,0.24342523955338197,0.218748089246361,0.26703724876793977,0.21415393472185476,0.16617831216634016,0.2470970840437795,0.16781846292969477
cpl!=,0.3341758339741557,0.35551627655295487,0.08112386668852714,0.09674426171825162,0.03414015846083728,0.04751073714528762,0.03679671790680479,0.052576025874072556,0.007229086794406144,0.009031404956215024,0.09537408380714477,0.08733379138652778,0.8976482721025273
cor!=,0.2857720364768711,0.3241438818658482,0.14907826131080484,0.14398585466378455,0.13230813843390685,0.18334742189378375,0.14011097873009337,0.13566205756021676,0.13713316778117296,0.11159266983903489,0.13077619798674245,0.16721543771515363,0.532733367516111
cpa>,0.2373682389795866,0.2927714871787415,0.21703265593308255,0.19133459728799554,0.23063253980798187,0.3108376528942805,0.24571645975346984,0.21886194585111302,0.26703724876793977,0.21415393472185476,0.16583817984406876,0.2704300626161574,0.16781846292969477
cpl>,0.3341758339741557,0.35551627655295487,0.08112386668852714,0.04248823764981227,0.017018984672914586,0.022660032313372044,0.018641897599640612,0.026466584548086997,0.007229086794406144,0.009031404956215024,0.05248058590950464,0.05377937365905488,0.8976482721025273
cor>,0.2857720364768711,0.3241438818658482,0.14907826131080484,0.1169114174689039,0.12382576224044822,0.16674884260382627,0.13217917867655524,0.12266426519960001,0.13713316778117296,0.11159266983903489,0.1091593828767867,0.16210471813760613,0.532733367516111
cpa<,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.07246376811594203,1.0
cpl<,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
cor<,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.5,0.5362318840579711,1.0
cor_nosign,0.2857720364768711,0.3241438818658482,0.14907826131080484,0.14398585466378455,0.13230813843390685,0.18334742189378375,0.14011097873009337,0.13566205756021676,0.13713316778117296,0.11159266983903489,0.13077619798674245,0.16721543771515363,0.532733367516111
cor_sign,0.6428860182384355,0.6620719409329241,0.5745391306554024,0.30845570873445194,0.3119128811202241,0.33337442130191314,0.31608958933827763,0.3113321325998,0.5685665838905865,0.5557963349195174,0.30457969143839336,0.3491683010977886,0.7663666837580555
Time,51.59979626752328,48.15065687981205,55.800227151400804,61.796243639959805,11.81083485700082,63.867524050284125,596.6128922890925,588.9114780702453,582.8006924062536,597.8875402091206,13083.26050164043,64515.68817746812,46124.42493438721
