,new_0,new_1,new_2,new_3,new_4,new_5
Deletion,0.007456107204779983,0.004522554809227586,0.0064782563131302595,0.004522554809227586,0.004522554809227586,0.02432393990457058
Insertion,0.007456107204779983,0.02432393990457058,0.010905619012191892,0.024323778972029687,0.02432393990457058,0.004522554809227586
MuFidelity,0.0,0.0,0.0,0.0,0.0,0.0
CosSim,0.032034149282984974,0.9999988965985983,0.049083093528501695,0.9997038303792449,1.0,1.0
_CosSim,0.006495766523927073,0.9999988965985983,0.049083093528501695,0.9997038303792449,1.0,-1.0
SSIM,0.9672440282503763,0.9999998641014098,0.004317626428479949,0.9998935015996298,1.0,0.9700295837720235
Conciseness,0.9950175382653061,0.9950175382653061,0.0,0.0,0.9950175382653061,0.9950175382653061
F1,1.0,1.0,0.009890151962086192,0.009890151962086192,1.0,1.0
MAE,0.002930482509349287,2.9471160908907554e-06,0.49690251262458984,0.0004975613341889101,0.0,0.0029583584393050983
IoU,1.0,1.0,0.0049824617346938774,0.0049824617346938774,1.0,1.0
PR,1.0,1.0,0.0049824617346938774,0.0049824617346938774,1.0,1.0
RE,1.0,1.0,1.0,1.0,1.0,1.0
EBPG,1.0,1.0,0.002970102394465357,0.6951302234331767,1.0,1.0
RRA,1.0,1.0,0.12877877646050068,1.0,1.0,1.0
soft_PR_abs,1.0,1.0,0.002970102394465357,0.6951302234331767,1.0,1.0
soft_RE_abs,0.4997782700944466,0.31312079661874365,0.31342991464259706,0.31342991464259706,0.31342991464259706,0.31342991464259706
soft_F1_abs,0.6663271225192962,0.47001851965696195,0.005863263344464168,0.4249287173457418,0.4703667570319534,0.4703667570319534
soft_PR_pos,0.5318681228160858,1.0,0.004096311520164211,0.7562777996063232,1.0,0.0
soft_RE_pos,0.2521423454489839,0.4726281887823432,0.4730887162311582,0.4730887162311582,0.4730887162311582,0.0
soft_F1_pos,0.3336017178694641,0.6178707992134118,0.008067088729718628,0.5612359006082579,0.6182658461482479,0.0
soft_PR_neg,0.4889567113419374,1.0,0.0018427739501930772,0.58457692305247,1.0,0.0
soft_RE_neg,0.2571914885239334,0.22472138089474875,0.22495380500307066,0.22495380500307066,0.22495380500307066,0.0
soft_F1_neg,0.31907665405207775,0.3600270533895701,0.0036406365846593848,0.3125962255236123,0.3603277899653815,0.0
_soft_PR_abs,0.31468607266743975,0.5925143305460612,0.0017902506022558855,0.41387191096941633,0.5925046797593435,0.5925046797593435
_soft_RE_abs,0.5015848600864411,0.5919323269526164,0.5925046797593435,0.5925046797593435,0.5925046797593435,0.5925046797593435
_soft_F1_abs,0.37820594954568826,0.5922231734936964,0.0035658524636374258,0.4828674770223202,0.5925046823754162,0.5925046823754162
_soft_PR_pos,0.22199715127547584,0.69703826268514,0.002818021923303604,0.5267435830831528,0.6970338177680968,0.0
_soft_RE_pos,0.2535350251197815,0.6963661148150762,0.6970338177680968,0.6970338177680968,0.6970338177680968,0.0
_soft_F1_pos,0.23348780589599955,0.6967020306805745,0.00560551843000214,0.5967578170365734,0.6970338117766877,0.0
_soft_PR_neg,0.0985101036230723,0.3962009183565775,0.0007627540219497556,0.23704266796509424,0.3961881359418233,0.0
_soft_RE_neg,0.2552761250734329,0.3957907887299855,0.3961881359418233,0.3961881359418233,0.3961881359418233,0.0
_soft_F1_neg,0.13609574676184732,0.3959957463202856,0.0015213663086071695,0.2914024913916023,0.39618813731151764,0.0
Atten_C,1.0,1.0,0.002970102394465357,0.6951302234331767,1.0,1.0
Atten_NC,0.0,0.0,0.997029887040456,0.30486976514259967,0.0,0.0
cpa!=,1.0,1.0,0.009904276872683953,0.8767975442402086,1.0,1.0
cpl!=,0.6191494908948642,0.9994048303679313,1.0,1.0,1.0,1.0
cor!=,0.809574745447432,0.9997024151839657,0.504952138436342,0.9383987721201044,1.0,1.0
cpa>,0.5164321576861604,1.0,0.010880581489572036,0.8729929745126815,1.0,0.0
cpl>,0.41307955685604786,0.999332999040524,1.0,1.0,1.0,0.35112481112274774
cor>,0.46475585727110413,0.9996664995202622,0.505440290744786,0.9364964872563408,1.0,0.17556240556137387
cpa<,0.4345450479172185,1.0,0.008815279391477911,0.8481650349595716,1.0,0.0
cpl<,0.4800328840010531,0.9994382838738055,1.0,1.0,1.0,0.608825406837799
cor<,0.45728896595913576,0.9997191419369027,0.5044076396957389,0.9240825174797859,1.0,0.3044127034188995
cor_nosign,0.809574745447432,0.9997024151839657,0.504952138436342,0.9383987721201044,1.0,1.0
cor_sign,0.4610224116151199,0.9996928207285825,0.5049239652202625,0.9302895023680634,1.0,0.23998755449013665
Time,5.0449784596761065,5.794874827067057,11.136156717936199,9.323997497558592,0.5325730641682942,1.4133898417154949
