,new_0,new_1,new_2,new_3,new_4,new_5
Deletion,0.007456107204779983,0.004522554809227586,0.007456107204779983,0.004522554809227586,0.004522554809227586,0.02432393990457058
Insertion,0.007456107204779983,0.02432393990457058,0.010335259325802326,0.024323930591344835,0.02432393990457058,0.004522554809227586
MuFidelity,-0.002038203795291122,0.0,0.0,0.0048867777742522085,0.0,0.0
CosSim,0.030359605564591365,0.7200155885381102,0.035700621211559286,0.7197863808094352,0.7199935889436295,0.7199935889436295
_CosSim,0.005435166508929912,0.7200155885381102,0.035700621211559286,0.7197863808094352,0.7199935889436295,-0.7199935889436295
SSIM,0.9665045746167502,0.9664110660552978,0.002653437720922132,0.9663051462173462,0.9664103404680888,0.95684202114741
Conciseness,0.9950020372732429,0.9950020372732429,0.0,0.0,0.9950020372732429,0.9950020372732429
F1,1.0,1.0,0.009920390045405991,0.009920390045405991,1.0,1.0
MAE,0.004983812281257076,0.0035283206633980858,0.500776682770768,0.004024393495600782,0.0035269015980161785,0.00646902385549856
IoU,1.0,1.0,0.0049979627267573695,0.0049979627267573695,1.0,1.0
PR,1.0,1.0,0.0049979627267573695,0.0049979627267573695,1.0,1.0
RE,1.0,1.0,1.0,1.0,1.0,1.0
EBPG,1.0,1.0,0.0029513013440494737,0.6944885627428691,1.0,1.0
RRA,1.0,1.0,0.12905212766499438,1.0,1.0,1.0
soft_PR_abs,1.0,1.0,0.0029513013440494737,0.6944885627428691,1.0,1.0
soft_RE_abs,0.501120677484797,0.31239646963354045,0.31269410558803606,0.31269410558803606,0.31269410558803606,0.31269410558803606
soft_F1_abs,0.6675597303873405,0.468922945838062,0.005825840448238584,0.42374977905655375,0.4692571427060674,0.4692571427060674
soft_PR_pos,0.5209796718756358,1.0,0.004064306014527877,0.7559925500551861,1.0,0.0
soft_RE_pos,0.24748571981865336,0.4718499238828221,0.4722956179152762,0.4722956179152762,0.4722956179152762,0.0
soft_F1_pos,0.32717846996804617,0.6166449759045929,0.008003615176723784,0.5599456113380614,0.6170264511335436,0.0
soft_PR_neg,0.48471972594658536,1.0,0.001831687097049629,0.5835580746332805,1.0,0.0
soft_RE_neg,0.25808123766774094,0.2261281927935726,0.2263481258327947,0.2263481258327947,0.2263481258327947,0.0
soft_F1_neg,0.3192006922481976,0.360983710560022,0.003618365617017891,0.31285770712469996,0.36126367742357757,0.0
_soft_PR_abs,1.0,1.0,0.0029513013440494737,0.6944885627428691,1.0,1.0
_soft_RE_abs,0.5011206769943237,0.31239647070566817,0.3126941059033076,0.3126941059033076,0.3126941059033076,0.3126941059033076
_soft_F1_abs,0.6675597328076878,0.4689229485690686,0.005825840427227719,0.42374977859295254,0.469257147025509,0.469257147025509
_soft_PR_pos,0.5209796718756358,1.0,0.004064306014527877,0.7559925500551861,1.0,0.0
_soft_RE_pos,0.2474857179323832,0.471849921544393,0.4722956275939941,0.4722956275939941,0.4722956275939941,0.0
_soft_F1_pos,0.3271784630895928,0.6166449705137912,0.008003615262880156,0.5599456112221122,0.6170264575879726,0.0
_soft_PR_neg,0.48471972594658536,1.0,0.001831687097049629,0.5835580746332805,1.0,0.0
_soft_RE_neg,0.2580812358856201,0.2261281923453013,0.22634812891483308,0.22634812891483308,0.22634812891483308,0.0
_soft_F1_neg,0.3192006828650719,0.36098371147899455,0.0036183656923991074,0.3128577098794904,0.36126367568931517,0.0
Atten_C,1.0,1.0,0.0029513013440494737,0.6944885627428691,1.0,1.0
Atten_NC,0.0,0.0,0.9970487038294475,0.30551139096419017,0.0,0.0
cpa!=,1.0,1.0,0.0029513014151831226,0.6944886070410343,1.0,1.0
cpl!=,0.501120671265024,0.3123964631706836,0.31269410439837697,0.31269410439837697,0.31269410439837697,0.31269410439837697
cor!=,0.7505603356325119,0.6561982315853417,0.15782270290678005,0.5035913557197057,0.6563470521991885,0.6563470521991885
cpa>,0.37524353889962364,1.0,0.004064306129013266,0.7559925789008887,1.0,0.0
cpl>,0.24748571706812994,0.47184991579213376,0.47229561445315477,0.47229561445315477,0.47229561445315477,0.0
cor>,0.31136462798387676,0.7359249578960668,0.23817996029108404,0.6141440966770217,0.7361478072265775,0.0
cpa<,0.3363285518557093,1.0,0.0018316870711722658,0.5835580721178746,1.0,0.0
cpl<,0.25808125692186185,0.22612819293091024,0.22634812085028452,0.22634812085028452,0.22634812085028452,0.0
cor<,0.29720490438878555,0.6130640964654551,0.1140899039607284,0.40495309648407946,0.6131740604251423,0.0
cor_nosign,0.7505603356325119,0.6561982315853417,0.15782270290678005,0.5035913557197057,0.6563470521991885,0.6563470521991885
cor_sign,0.30428476618633116,0.6744945271807611,0.17613493212590622,0.5095485965805506,0.6746609338258598,0.0
Time,4.529094696044922,5.568990707397461,9.696629842122396,10.016218821207683,0.5737781524658202,1.6392072041829429
