,GradCAM,GradCAMPP,Saliency,DeconvNet,GradientInput,GuidedBackprop,IntegratedGradients,SmoothGrad,SquareGrad,VarGrad,KernelShap,Lime,Occlusion,Rise
EBPG,0.32084147135416663,0.2533721923828125,0.3863525390625,0.6126848856608074,0.5721696217854817,0.5724684397379557,0.5725987752278645,0.6391143798828125,0.5724843343098958,0.639340082804362,0.2811018625895182,0.3600597381591797,0.28087615966796875,0.21229108174641928
RRA,0.46619733174641925,0.572802225748698,0.6000518798828124,1.4383252461751304,1.4248116811116536,1.3851515452067058,1.4913558959960938,1.5309651692708335,1.59791628519694,1.5709590911865232,0.5722268422444662,0.705722173055013,0.5729198455810547,0.6131998697916667
soft_PR_abs,0.35999615987141925,0.32020250956217444,0.3597672780354818,0.7591088612874348,0.7055409749348959,0.6788857777913412,0.5727481842041015,0.6789779663085938,0.6395053863525392,0.6790892283121746,0.35995801289876306,0.3587913513183594,0.2931499481201172,0.3203360239664713
soft_RE_abs,0.42654991149902344,0.31935691833496094,0.280005137125651,0.7588386535644532,0.8787091573079426,0.9456380208333333,0.8520348866780599,0.8919270833333334,0.8523432413736979,0.9189383188883464,0.38585980733235675,0.3986326853434245,0.3199195861816406,0.359490712483724
soft_F1_abs,0.4268360137939453,0.5056571960449219,0.4260508219401042,0.9992313385009766,1.0255972544352212,1.1313597361246746,0.8524099985758463,0.9718290964762369,0.9586747487386068,1.0387547810872397,0.4265308380126953,0.35850207010904944,0.5726114908854167,0.399634043375651
soft_PR_pos,0.31998634338378906,0.3862603505452474,0.25313377380371094,0.6789875030517578,0.6391429901123047,0.7719580332438151,0.6388346354166667,0.6128247578938801,0.5724557240804036,0.6390349070231119,0.2532958984375,0.2532259623209635,0.3597068786621094,0.29237111409505206
soft_RE_pos,0.45303662618001306,0.4927698771158854,0.3590520222981771,0.8257834116617839,0.7854366302490235,1.0118707021077475,0.8122380574544271,0.8256340026855469,0.8124319712320963,0.7857259114583333,0.4267088572184245,0.3194236755371094,0.3597068786621094,0.4262797037760417
soft_F1_pos,0.4664293924967448,0.5330276489257812,0.4925982157389323,0.9719530741373699,0.9586874643961588,0.8919270833333334,0.8651447296142578,1.038923263549805,0.9986972808837891,0.9985987345377604,0.39967219034830725,0.506283442179362,0.5316766103108723,0.31947135925292974
soft_PR_neg,0.3200244903564453,0.21324793497721353,0.3201643625895182,0.6787109375000001,0.6394163767496746,0.6387964884440105,0.7461071014404297,0.9454441070556641,0.7057507832845051,0.6392828623453776,0.31980832417805993,0.3595606486002604,0.3197224934895833,0.3196970621744792
soft_RE_neg,0.31954447428385413,0.3596941630045573,0.32013893127441406,0.8388678232828776,0.8918984731038412,0.8252938588460287,0.9314854939778645,1.0789839426676433,0.7724157969156902,0.8124287923177083,0.4261557261149089,0.35965919494628906,0.2930132548014323,0.3596782684326172
