,GradCAM,GradCAMPP,Saliency,DeconvNet,GradientInput,GuidedBackprop,IntegratedGradients,SmoothGrad,SquareGrad,VarGrad,KernelShap,Lime,Occlusion,Rise
Deletion,0.007456107204779983,0.007456107204779983,0.007456107204779983,0.007456107204779983,0.007456107204779983,0.007456107204779983,0.009411798138171435,0.007809183304198086,0.007456107204779983,0.007456107204779983,0.007456107204779983,0.007456107204779983,0.007456107204779983,0.007456107204779983
Insertion,0.008922876697033644,0.008922876697033644,0.007890704832971097,0.013295393623411655,0.007890704832971097,0.01090572397224605,0.011856403993442654,0.011856288509443402,0.016066476702690125,0.015903476066887377,0.007673406391404569,0.007890704832971097,0.01650117728859186,0.007890704832971097
CosSim,0.035405783272705875,0.03540578337220677,0.0,0.08716676962302973,0.0,0.29230890769874207,0.4612633474677411,0.256441213861678,0.1493764613230703,0.14229370010571282,0.019455300981703897,0.00035237442901017973,0.23853710400570466,0.006664619309661932
_CosSim,0.035405783272705875,0.03540578337220677,0.0,0.0659261682631033,0.0,0.2632448590870171,0.04474456759428641,0.023515816903934013,0.10222580806510431,0.10184222157219858,0.019455300981703897,0.00031713472232508316,0.23853710400570466,0.006664619309661932
SSIM,0.05731459441493094,0.05731459427645994,0.9223557885465488,0.8434672959645588,0.972209395567576,0.9701429684956869,0.9701546096801759,0.9541370813051859,0.9603901187578836,0.9543233354886373,0.07748822224809868,0.8547309235174749,0.8467430577071766,0.8545744067807117
Conciseness,0.022517006802721087,0.022517006802721087,0.9999800701530612,0.9458492772108844,0.9999800701530612,0.9974690865929705,0.9967563952664399,0.8972689909297052,0.8970052969104308,0.8960561933106576,0.039999202806122444,0.9199816645408163,0.01806441326530612,0.9199816645408163
F1,0.02960754243830377,0.02960754243830377,0.0,0.07747612411793062,0.0,0.3317529860214247,0.2915716479741107,0.07119584415187484,0.07157369319305362,0.071513675475637,0.024949034291507792,0.005791562575083921,0.02970427330642552,0.005791562575083921
MAE,0.44926262307961756,0.44926262667449296,0.00448602033311001,0.010806431643324557,0.0014953401110499567,0.0016792236178028688,0.001668743288909396,0.003000488810237724,0.00210449889076112,0.002406215380300122,0.20508444045359794,0.0392842178254499,0.08956016618503546,0.0836331753520879
IoU,0.015141145281816834,0.015141145281816834,0.0,0.04073048929459376,0.0,0.2337845198933664,0.1782298097356685,0.03735672214693563,0.03756091683941963,0.03757238258497005,0.012687340561224492,0.003029336734693878,0.015195150105060016,0.003029336734693878
PR,0.015142848664841802,0.015142848664841802,0.0,0.04378056107790041,0.0,0.48986902961871764,0.34887835634248626,0.03829687710588124,0.03851775844455792,0.0384563756750827,0.012687340561224492,0.003029336734693878,0.015195150105060016,0.003029336734693878
RE,0.9919663824001977,0.9919663824001977,0.0,0.5479924005913667,0.0,0.3199936657616816,0.2974772383445504,0.791869895757456,0.7938075854661284,0.7972925347029313,0.96,0.08,1.0,0.08
EBPG,0.019245074925323326,0.019245074869443973,0.0,0.04594021176298459,0.0,0.4880704405903816,0.578916807572047,0.20336411190529669,0.21648717716336247,0.19722012877464296,0.013433803922186294,0.0030045553296804426,0.38039241539935265,0.003029337078332901
RRA,0.025253201629265178,0.025253201629265178,1.0,0.04132582447896318,1.0,0.8461143676395289,0.7523416040100251,0.29065548651941314,0.24365783309842487,0.2144197492712129,0.06323620114431425,0.9238914285714287,0.5115007062832939,0.9233114285714287
soft_PR_abs,0.019245074925323326,0.019245074869443973,0.0,0.04594021176298459,0.0,0.4880704405903816,0.578916807572047,0.20336411190529669,0.21648717716336247,0.19722012877464296,0.013433803922186294,0.0030045553296804426,0.38039241539935265,0.003029337078332901
soft_RE_abs,0.577964646811656,0.5779646538213719,0.0,0.10291159340433216,0.0,0.09792390318276632,0.06734613350710456,0.09050996474903152,0.035378743005803334,0.035654679387141744,0.2157479386637172,0.035479598911830355,0.4502792703441269,0.07999985700334822
