,GradCAM,GradCAMPP,Saliency,DeconvNet,GradientInput,GuidedBackprop,IntegratedGradients,SmoothGrad,SquareGrad,VarGrad,KernelShap,Lime,Occlusion,Rise
Deletion,0.007456112443469465,0.007456112443469465,0.007456112443469465,0.007591925049200654,0.007456112443469465,0.007456112443469465,0.01063412711955607,0.009411813830956817,0.007456112443469465,0.007456112443469465,0.007456112443469465,0.007456112443469465,0.007456112443469465,0.007456112443469465
Insertion,0.009194514062255622,0.009194514062255622,0.007890712423250078,0.013947839010506868,0.007890712423250078,0.009982226719148456,0.008325312891975046,0.010634127375669777,0.0166913409717381,0.015822099056094885,0.007890712795779109,0.007890712423250078,0.01663702744990587,0.007890712423250078
CosSim,0.03325284583586578,0.03325284573217922,0.0,0.11174763843791255,0.0,0.23877971098666806,0.33529866035568767,0.28341934028530813,0.18544095128941662,0.16455134579799777,0.019527786498246644,0.0009367565697984432,0.23901967720149003,0.006677932319490591
_CosSim,0.03325284583586578,0.03325284573217922,0.0,0.09798769232669795,0.0,0.2175102491046177,-0.015423901180696165,0.046941534861705464,0.1496504114016925,0.12993667354228125,0.019527786498246644,-0.0009367565697984432,0.23901967720149003,0.006677932319490591
SSIM,0.17170898199554663,0.17170898205292337,0.9223543788143707,0.8579551140467325,0.9722298097610474,0.9722615385055542,0.971229116121928,0.9582313060760498,0.9629775524139405,0.9596648987134297,0.08397536870618452,0.8559151241462928,0.8464452110090734,0.8545769248081821
Conciseness,0.14428411989795917,0.14428411989795917,0.9999800701530612,0.9549322385204082,0.9999800701530612,0.9977503188775512,0.9974710352891158,0.9162799390589569,0.915969742063492,0.9156360721371882,0.039999202806122444,0.9199816645408163,0.018494897959183673,0.9199816645408163
F1,0.028449002906050413,0.028449002906050413,0.0,0.0818624544076916,0.0,0.2950302012499576,0.25095494629620785,0.08621767036981577,0.08737645280747675,0.08631951155435066,0.02509419137176691,0.005791562575083921,0.029862696848612362,0.005791562575083921
MAE,0.390816829487852,0.3908168247761184,0.00446349960625926,0.00982487218551134,0.0014878332020997064,0.0015632829093636877,0.0016126896035476988,0.0028347762448127185,0.002054002629315394,0.002229708134440873,0.19863505752287497,0.02662534610027925,0.0894716623532547,0.08361512272789624
IoU,0.01455972530399205,0.01455972530399205,0.0,0.04335323654980032,0.0,0.20979940105797326,0.15683100054681048,0.045725395641603446,0.046397887653265704,0.04576890353730192,0.01276174532312925,0.003029336734693878,0.015276424084903617,0.003029336734693878
PR,0.014567468903592043,0.014567468903592043,0.0,0.04648531938422098,0.0,0.3855923662467847,0.32006112377334406,0.04996873852794011,0.04997088718507623,0.0490806561707293,0.01276174532312925,0.003029336734693878,0.015276424084903617,0.003029336734693878
RE,0.8813189189189188,0.8813189189189188,0.0,0.49448536988331193,0.0,0.29004311594470417,0.25199059907987176,0.7457421333910259,0.7496647254675827,0.7535681875217027,0.96,0.08,1.0,0.08
EBPG,0.018890899928907554,0.018890900077919166,0.0,0.05379852297405402,0.0,0.37506820956865944,0.5120372322201729,0.27504205385843916,0.29529740229249,0.2568781761328379,0.013832891664157312,0.0032582246512174603,0.3743456517408291,0.0030293368548154832
RRA,0.10520843026831679,0.10520843026831679,1.0,0.05833995307679518,1.0,0.9260246616541353,0.8049948376559376,0.36119513324041697,0.2968455035556887,0.2538399911924662,0.060778665809561525,0.9239885714285714,0.5983016990239097,0.9234171428571429
soft_PR_abs,0.018890899928907554,0.018890900077919166,0.0,0.05379852297405402,0.0,0.37506820956865944,0.5120372322201729,0.27504205385843916,0.29529740229249,0.2568781761328379,0.013832891664157312,0.0032582246512174603,0.3743456517408291,0.0030293368548154832
soft_RE_abs,0.5090955231795199,0.5090955189388751,0.0,0.11346928859429609,0.0,0.07322236308681325,0.05960899578616019,0.11408254041094615,0.05458673793694694,0.04734929566329758,0.20957663653777145,0.024079239850725447,0.43874839618490497,0.07999985456194196
soft_F1_abs,0.03563376507761201,0.0356337652200178,0.0,0.06138945182569354,0.0,0.1114403237337612,0.10083261850807027,0.13927708353608031,0.08174909148120854,0.06967043536494785,0.02542461201129701,0.005642516447784432,0.35953644089601194,0.005791562342102874
soft_PR_pos,0.010590144591405988,0.0105901443430533,0.0,0.04356144006984929,0.0,0.2985974286993345,0.2914063561956088,0.16128764361453554,0.16757924502094584,0.14663619485994178,0.008269027424976231,0.003057413175702095,0.17800712580482164,0.0028372132778167725
soft_RE_pos,0.50800429394184,0.5080042725512334,0.0,0.12160779465299235,0.0,0.08392321621248976,0.05073970130739841,0.0760086140057489,0.0699750032363574,0.05906632592830126,0.13449010760776148,0.009858072778412549,0.47286628336088,0.07999985880722567
soft_F1_pos,0.02013808858032627,0.020138088011662805,0.0,0.05363940236556325,0.0,0.1159533236931309,0.08183665854581149,0.08948664711466639,0.08343128630344479,0.07122975535338989,0.014916451180034651,0.00445568537972923,0.23551063821758972,0.0054372815002443255
soft_PR_neg,1.0,1.0,1.0,0.03896423062930505,1.0,0.4635182756682236,0.2646876314282417,0.1554480248938004,1.0,1.0,0.04574701274745167,0.9201654447847977,0.08307284331570068,1.0
soft_RE_neg,0.0,0.0,0.0,0.07462486687262537,0.0,0.05066235222159547,0.007169616416220566,0.05986975757140286,0.0,0.0,0.08717501710151285,0.011405182857139437,2.2877805226770455e-08,0.0
soft_F1_neg,0.0,0.0,0.0,0.045096115311922286,0.0,0.08194099690702084,0.012605191429582632,0.0728130009974611,0.0,0.0,0.010490038734558975,0.0003260513020018884,4.575524518673488e-08,0.0
_soft_PR_abs,0.005603995717441043,0.005603995770215989,0.0,0.02405160836720218,0.0,0.18536644250154494,0.38953735431035363,0.13378251438339553,0.1741616462667783,0.14841688320040702,0.0046465511123339335,0.0005321527644991875,0.17899488440404335,0.000522181922569871
_soft_RE_abs,0.5101245923837026,0.510124588807424,0.0,0.1541551839684447,0.0,0.10059082694351673,0.12330563088258109,0.1473712895810604,0.08193172904352347,0.07344174434741338,0.22443968395392103,0.023226950168609616,0.6049815555413564,0.07999985456466675
_soft_F1_abs,0.011041495845720306,0.011041495895341825,0.0,0.03806615979260254,0.0,0.10876731995214546,0.1680785447757438,0.11616693194157643,0.0876780299318208,0.0780087472758928,0.009033184105077134,0.0010378968280224405,0.26104813697213924,0.0010365070847160262
_soft_PR_pos,0.0038571775270005064,0.0038571774742255606,0.0,0.02867598416904608,0.0,0.2162047124405702,0.23296627451976143,0.11536439306268827,0.12471490619083245,0.10657488557199638,0.004629154191352427,0.00043831001035869125,0.1434718830914547,0.00042411712929606437
_soft_RE_pos,0.5093260173002878,0.5093259982268016,0.0,0.16386565728733937,0.0,0.11310535900605223,0.07443318821489811,0.09819189068367754,0.0946674182234953,0.08251791951557,0.17102969110012053,0.009749161005020142,0.6981630043188731,0.07999985694885255
_soft_F1_pos,0.007634268496113548,0.007634268350397856,0.0,0.04416558233140828,0.0,0.1262335516547254,0.10507816824142804,0.08771887101491381,0.08506257458836372,0.07457857676424688,0.008920772833815076,0.0008329415189864541,0.2290342603654346,0.0008430885085198476
_soft_PR_neg,1.0,1.0,1.0,0.00935869020409882,1.0,0.22333640300979218,0.17804373328263562,0.032626869287341834,1.0,1.0,0.0413061853129572,0.9200968236057087,0.08087189406311761,1.0
_soft_RE_neg,0.0,0.0,0.0,0.09298083423947294,0.0,0.060034219774728025,0.015628534601904297,0.059237344836195305,0.0,0.0,0.09224720833202202,0.0135711270570755,3.210825534930943e-08,0.0
