,GradCAM,GradCAMPP,Saliency,DeconvNet,GradientInput,GuidedBackprop,IntegratedGradients,SmoothGrad,SquareGrad,VarGrad,KernelShap,Lime,Occlusion,Rise
soft_F1_abs,0.03416212998885732,0.0341621294472121,0.0,0.067746014383857,0.0,0.13618805936663086,0.08562319409157937,0.12763529935266954,0.06496482068140542,0.06182831141512242,0.024429300564758425,0.005423906018553892,0.3598694008389777,0.005791561766561296
soft_PR_pos,0.010590209380413095,0.010590209395935139,0.0,0.046518003437668085,0.0,0.37342582548658054,0.33267513282597067,0.20762327263209351,0.1419219690343986,0.118348139145722,0.007802580601225297,0.002865934744477272,0.17907957049707574,0.002840401828289032
soft_RE_pos,0.47906404738781216,0.4790640549976725,0.0,0.1426610215199881,0.0,0.09406974926988734,0.046530721387131,0.09920873165115149,0.0482716409542482,0.04902191021755074,0.13842615043106496,0.010459013733856718,0.47503835436824476,0.07999984595518128
soft_F1_pos,0.01942938054194454,0.019429380569213187,0.0,0.05715490609882815,0.0,0.13502006438728736,0.07777407711551593,0.11745598587110254,0.05959421372813939,0.056178337738755066,0.01436117639928631,0.004365068702558615,0.23658804901955496,0.005442637759630999
soft_PR_neg,1.0,1.0,1.0,0.04051265254306296,1.0,0.5793516320735217,0.3910556060432767,0.20785531570028976,1.0,1.0,0.04558044669218361,0.9202006157767026,0.4,1.0
soft_RE_neg,0.0,0.0,0.0,0.09469104517671441,0.0,0.06753966707734733,0.0086021836325952,0.0763629401776222,0.0,0.0,0.08014956129662158,0.013708065587845103,0.0,0.0
soft_F1_neg,0.0,0.0,0.0,0.05125913812658424,0.0,0.10655744561080734,0.016316294092574755,0.09487337568641595,0.0,0.0,0.010125814399218946,0.00039538935066282463,0.0,0.0
_soft_PR_abs,0.005245086681097745,0.00524508665005366,0.0,0.025674490223949152,0.0,0.21613120536009472,0.3917311287919681,0.12457645149280627,0.14701174145564438,0.1262749391188845,0.0043997868290171025,0.0005468484759330749,0.17955875030097862,0.0005082708690315486
_soft_RE_abs,0.4796705134709677,0.47967051823933915,0.0,0.18397552467882633,0.0,0.11265232398485145,0.11702088621755442,0.12409035890052715,0.05441929680140069,0.06150595105253161,0.21886665860811866,0.025436332225799562,0.606163429816564,0.0799998450279236
_soft_F1_abs,0.010300580222354456,0.010300580154092116,0.0,0.041463296520436024,0.0,0.123136633808456,0.16467732695578247,0.10152292575099317,0.06336627135093825,0.06479666189002256,0.008568968589387297,0.0010686571694476475,0.261772605059219,0.0010090471829254555
