,new_0,new_1,new_2,new_3,new_4,new_5
Deletion,0.22518518567085266,0.12444444745779037,0.17083333432674408,0.12444444745779037,0.12444444745779037,0.9488889575004578
Insertion,0.23851852118968964,0.9488889575004578,0.5662037134170532,0.9488889575004578,0.9488889575004578,0.12444444745779037
MuFidelity,0.05082552618584365,0.6217060448938045,0.03262703940911357,0.6363358389070599,0.6250676723979808,-0.6321027045808767
CosSim,0.18650221907355788,0.9999991109964095,0.06672873181663075,0.9998225087480748,1.0,1.0
_CosSim,0.01950440378761365,0.9999991109964095,0.06672873181663075,0.9998225087480748,1.0,-1.0
SSIM,0.9401667714118958,1.0,0.005702062975615263,0.9998958706855774,1.0,0.9438567161560059
Conciseness,0.9923289609053487,0.9923289609053487,0.0,0.0,0.9923289609053487,0.9923289609053487
F1,1.0,1.0,0.01516196058073781,0.01516196058073781,1.0,1.0
MAE,0.004748120396832785,4.161555678213197e-06,0.4956395555951241,0.0004964816591177843,0.0,0.005258605552962451
IoU,1.0,1.0,0.0076710390946502045,0.0076710390946502045,1.0,1.0
PR,1.0,1.0,0.007671039094650206,0.007671039094650206,1.0,1.0
RE,1.0,1.0,1.0,1.0,1.0,1.0
EBPG,1.0,1.0,0.0052762459963560104,0.7815472483634949,1.0,1.0
RRA,1.0,1.0,0.1639458616780045,1.0,1.0,1.0
soft_PR_abs,1.0,1.0,0.0052762459963560104,0.7815472483634949,1.0,1.0
soft_RE_abs,0.5241856034456197,0.3518777883173792,0.35206264712467206,0.35206264712467206,0.35206264712467206,0.35206264712467206
soft_F1_abs,0.6857742823604436,0.5090768403619466,0.010321693996722659,0.47624208134958135,0.5092589403765787,0.5092589403765787
soft_PR_pos,0.5249174237251282,1.0,0.007426116615533829,0.8300884366035461,1.0,0.0125
soft_RE_pos,0.2759440197457406,0.5281201449119279,0.5284125219697229,0.5284125219697229,0.5284125219697229,0.0
soft_F1_pos,0.34738905745333104,0.6613267396844773,0.014419848514738532,0.6207924198779635,0.6615367570988779,0.0
soft_PR_neg,0.5014539957046509,1.0,0.0031060934998095036,0.6729242205619812,1.0,0.0
soft_RE_neg,0.271964044285406,0.2508722018742609,0.25098698254237095,0.25098698254237095,0.25098698254237095,0.0125
soft_F1_neg,0.3236662579956638,0.3881541292810222,0.006092596866366869,0.3414257588167809,0.388293471409573,0.0
_soft_PR_abs,0.35538366436958313,0.6327468752861023,0.003419242100790143,0.4985460638999939,0.6327565312385559,0.6327565312385559
_soft_RE_abs,0.5294778943061829,0.6324344277381897,0.6327565312385559,0.6327565312385559,0.6327565312385559,0.6327565312385559
_soft_F1_abs,0.41279706358909607,0.6325905919075012,0.006780631840229034,0.5546179413795471,0.6327565908432007,0.6327565908432007
_soft_PR_pos,0.24567770957946777,0.743932843208313,0.005438543856143951,0.6193139553070068,0.7439471483230591,0.0125
_soft_RE_pos,0.275738388299942,0.7435632944107056,0.7439471483230591,0.7439471483230591,0.7439471483230591,0.0
_soft_F1_pos,0.2487604171037674,0.7437479496002197,0.010737242177128792,0.6738632917404175,0.7439471483230591,0.0
_soft_PR_neg,0.11384447664022446,0.4142219126224518,0.0013848028611391783,0.2832515239715576,0.4142230451107025,0.0
_soft_RE_neg,0.27754276990890503,0.41402825713157654,0.4142230451107025,0.4142230451107025,0.4142230451107025,0.0125
_soft_F1_neg,0.15052998065948486,0.4141249656677246,0.0027556971181184053,0.3278791308403015,0.4142230451107025,0.0
Atten_C,1.0,1.0,0.0052762459963560104,0.7815472483634949,1.0,1.0
Atten_NC,0.0,0.0,0.9947237968444824,0.21845278143882751,0.0,0.0
cpa!=,1.0,1.0,0.015171368736882709,0.9133229447090377,1.0,1.0
cpl!=,0.6084777751152748,0.9994758011228699,1.0,1.0,1.0,1.0
cor!=,0.8042388875576375,0.9997379005614349,0.5075856843684414,0.9566614723545189,1.0,1.0
cpa>,0.49536493400868026,1.0,0.016582354764001696,0.9102677241953998,1.0,0.0125
cpl>,0.3997311540862924,0.9994533963920109,1.0,1.0,1.0,0.3208331503868142
cor>,0.44754804404748627,0.9997266981960055,0.5082911773820009,0.9551338620976999,1.0,0.1666665751934071
cpa<,0.4273350068093336,1.0,0.013537200483777165,0.8797837277102756,1.0,0.0
cpl<,0.45664552326263885,0.9994999414723651,1.0,1.0,1.0,0.5918043110540934
cor<,0.44199026503598626,0.9997499707361825,0.5067686002418885,0.9398918638551379,1.0,0.2959021555270467
cor_nosign,0.8042388875576375,0.9997379005614349,0.5075856843684414,0.9566614723545189,1.0,1.0
cor_sign,0.44476915454173627,0.9997383344660941,0.5075298888119446,0.9475128629764187,1.0,0.23128436536022692
Time,0.07793188095092773,0.0607536236445109,0.09642561276753744,0.09386519591013591,0.005052884419759115,0.017661054929097496
