,new_0,new_1,new_2,new_3,new_4,new_5
Deletion,0.24925926327705383,0.11777778714895248,0.17342592775821686,0.11777778714895248,0.11777778714895248,0.9488889575004578
Insertion,0.23222222924232483,0.9488889575004578,0.5585185289382935,0.9488889575004578,0.9488889575004578,0.11777778714895248
MuFidelity,-0.004075958389262451,0.6298232983302461,0.044541598073118374,0.6143321502716024,0.6307200778185839,-0.6268877635232402
CosSim,0.18325666966214538,0.9999991402643549,0.06776654070885799,0.9998258146295911,1.0,1.0
_CosSim,-0.0015389140611052267,0.9999991402643549,0.06776654070885799,0.9998258146295911,1.0,-1.0
SSIM,0.9396499395370483,1.0,0.005813362076878548,0.9998957514762878,1.0,0.944172739982605
Conciseness,0.99226144547325,0.99226144547325,0.0,0.0,0.99226144547325,0.99226144547325
F1,1.0,1.0,0.015294519091316974,0.015294519091316974,1.0,1.0
MAE,0.004909131933481378,4.203462987928684e-06,0.49539218891766834,0.0004961597132411526,0.0,0.005371206291328122
IoU,1.0,1.0,0.00773855452674897,0.00773855452674897,1.0,1.0
PR,1.0,1.0,0.007738554526748971,0.007738554526748971,1.0,1.0
RE,1.0,1.0,1.0,1.0,1.0,1.0
EBPG,1.0,1.0,0.005391526035964489,0.7837724089622498,1.0,1.0
RRA,1.0,1.0,0.1663001700680272,1.0,1.0,1.0
soft_PR_abs,1.0,1.0,0.005391526035964489,0.7837724089622498,1.0,1.0
soft_RE_abs,0.5299591919222926,0.3553772120645392,0.35557441045326976,0.35557441045326976,0.35557441045326976,0.35557441045326976
soft_F1_abs,0.6905682703503884,0.5126620268276966,0.010548457356513316,0.48006169145778077,0.5128608074942574,0.5128608074942574
soft_PR_pos,0.5149444937705994,1.0,0.007594364695250988,0.8316136598587036,1.0,0.015000000000000003
soft_RE_pos,0.2625585004610417,0.532043436651988,0.532344666158119,0.532344666158119,0.532344666158119,0.0
soft_F1_pos,0.33382841817469794,0.6648834532393367,0.014762667316490627,0.6247209547887606,0.6651067684258828,0.0
soft_PR_neg,0.5036647319793701,1.0,0.003159305779263377,0.6739629507064819,1.0,0.0
soft_RE_neg,0.29081553360757734,0.25035483284164517,0.25048475109501955,0.25048475109501955,0.25048475109501955,0.015000000000000003
soft_F1_neg,0.3340617067889327,0.3871046960099433,0.006195955547373849,0.33989856837032395,0.3872687637127659,0.0
_soft_PR_abs,0.3517583906650543,0.6373565196990967,0.0035245795734226704,0.5038577914237976,0.6373492479324341,0.6373492479324341
_soft_RE_abs,0.5285672545433044,0.6370137929916382,0.6373492479324341,0.6373492479324341,0.6373492479324341,0.6373492479324341
_soft_F1_abs,0.4090883731842041,0.6371849775314331,0.006989495363086462,0.5596493482589722,0.6373492479324341,0.6373492479324341
_soft_PR_pos,0.2389182150363922,0.7494798898696899,0.005616415292024612,0.625373363494873,0.7494701147079468,0.015000000000000003
_soft_RE_pos,0.2605859339237213,0.749083399772644,0.7494701147079468,0.7494701147079468,0.7494701147079468,0.0
_soft_F1_pos,0.23850345611572266,0.7492814660072327,0.011091701686382294,0.679688572883606,0.7494701147079468,0.0
_soft_PR_neg,0.11213015019893646,0.4100686013698578,0.001414137426763773,0.2817748785018921,0.41008248925209045,0.0
_soft_RE_neg,0.28354373574256897,0.4098501205444336,0.41008248925209045,0.41008248925209045,0.41008248925209045,0.015000000000000003
_soft_F1_neg,0.1466219574213028,0.40995922684669495,0.0028138160705566406,0.32464471459388733,0.41008248925209045,0.0
Atten_C,1.0,1.0,0.005391526035964489,0.7837724089622498,1.0,1.0
Atten_NC,0.0,0.0,0.9946085214614868,0.21622757613658905,0.0,0.0
cpa!=,1.0,1.0,0.01531466600374474,0.9139629160818377,1.0,1.0
cpl!=,0.5987407947036686,0.9994740644094987,1.0,1.0,1.0,1.0
cor!=,0.7993703973518343,0.9997370322047493,0.5076573330018723,0.9569814580409188,1.0,1.0
cpa>,0.48233623068713916,1.0,0.016705193328784302,0.9109974395936058,1.0,0.015000000000000003
cpl>,0.3863669835312094,0.9994572022399074,1.0,1.0,1.0,0.3173776719401747
cor>,0.43435160710917425,0.9997286011199538,0.5083525966643921,0.9554987197968028,1.0,0.16618883597008732
cpa<,0.4168029480720968,1.0,0.013673464896808369,0.8809321150661871,1.0,0.0
cpl<,0.45131752070855524,0.9994903041815981,1.0,1.0,1.0,0.5940260364689995
cor<,0.43406023439032604,0.9997451520907991,0.5068367324484042,0.9404660575330936,1.0,0.29701301823449977
cor_nosign,0.7993703973518343,0.9997370322047493,0.5076573330018723,0.9569814580409188,1.0,1.0
cor_sign,0.43420592074975006,0.9997368766053765,0.5075946645563981,0.9479823886649482,1.0,0.23160092710229355
Time,0.0744485855102539,0.056523680686950684,0.0853194793065389,0.08492688337961833,0.005256136258443197,0.01694242159525553
