,new_0,new_1,new_2,new_3,new_4,new_5
Deletion,0.24037036299705505,0.12000000476837158,0.1666666716337204,0.12000000476837158,0.12000000476837158,0.9488889575004578
Insertion,0.23333334922790527,0.9488889575004578,0.5821759700775146,0.9488889575004578,0.9488889575004578,0.12000000476837158
MuFidelity,-0.014021836608240374,0.6221222116623224,0.0965447768193042,0.6284501469742139,0.6335645937401331,-0.6215398713746785
CosSim,0.18490688000797198,0.7341796811747802,0.10177619701006288,0.7341579672306602,0.7341879962731629,0.7341879962731629
_CosSim,0.0027035902923301207,0.7341796811747802,0.10177619701006288,0.7341579672306602,0.7341879962731629,-0.7341879962731629
SSIM,0.8761941194534302,0.8737832307815552,0.0017678693402558565,0.8736891746520996,0.8737815022468567,0.840448260307312
Conciseness,0.9691358024691358,0.9691358024691358,0.0,0.0,0.9691358024691358,0.9691358024691358
F1,1.0,1.0,0.058986347724102696,0.058986347724102696,1.0,1.0
MAE,0.030799802906953628,0.020313114351858046,0.5045651870879289,0.020791104651085194,0.020306412861631373,0.041421982200097025
IoU,1.0,1.0,0.030864197530864196,0.030864197530864196,1.0,1.0
PR,1.0,1.0,0.030864197530864196,0.030864197530864196,1.0,1.0
RE,1.0,1.0,1.0,1.0,1.0,1.0
EBPG,1.0,1.0,0.021379943937063217,0.9316814541816711,1.0,1.0
RRA,1.0,1.0,0.16406179138321997,1.0,1.0,1.0
soft_PR_abs,1.0,1.0,0.021379943937063217,0.9316814541816711,1.0,1.0
soft_RE_abs,0.5225672265365551,0.3535472425836014,0.35374533032823574,0.35374533032823574,0.35374533032823574,0.35374533032823574
soft_F1_abs,0.6843770853942519,0.5107366394904707,0.03939798202964313,0.5024026529004377,0.5109361182850746,0.5109361182850746
soft_PR_pos,0.5228672623634338,1.0,0.029543790966272354,0.9502233266830444,1.0,0.01
soft_RE_pos,0.25784414849167925,0.5295794796293265,0.5298723115468433,0.5298723115468433,0.5298723115468433,0.0
soft_F1_pos,0.3324087491732249,0.6629984254899596,0.05373982292991404,0.6528268619522016,0.6632137808100704,0.0
soft_PR_neg,0.4763360023498535,1.0,0.012891503050923347,0.8740741610527039,1.0,0.0
soft_RE_neg,0.2725210022611455,0.24637712921178528,0.24652034103243597,0.24652034103243597,0.24652034103243597,0.01
soft_F1_neg,0.3184118607934231,0.38333239326169866,0.023916807851119423,0.36447938423373705,0.38351113701803907,0.0
_soft_PR_abs,1.0,1.0,0.021379943937063217,0.9316814541816711,1.0,1.0
_soft_RE_abs,0.5225672721862793,0.35354721546173096,0.35374534130096436,0.35374534130096436,0.35374534130096436,0.35374534130096436
_soft_F1_abs,0.684377133846283,0.5107366442680359,0.039397984743118286,0.502402663230896,0.5109360218048096,0.5109360218048096
_soft_PR_pos,0.5228672623634338,1.0,0.029543790966272354,0.9502233266830444,1.0,0.01
_soft_RE_pos,0.25784412026405334,0.5295794010162354,0.5298722386360168,0.5298722386360168,0.5298722386360168,0.0
_soft_F1_pos,0.33240872621536255,0.6629984378814697,0.053739823400974274,0.6528269052505493,0.6632136702537537,0.0
_soft_PR_neg,0.4763360023498535,1.0,0.012891503050923347,0.8740741610527039,1.0,0.0
_soft_RE_neg,0.2725209593772888,0.2463771402835846,0.24652032554149628,0.24652032554149628,0.24652032554149628,0.01
_soft_F1_neg,0.31841185688972473,0.38333240151405334,0.023916807025671005,0.3644793629646301,0.3835110664367676,0.0
Atten_C,1.0,1.0,0.021379943937063217,0.9316814541816711,1.0,1.0
Atten_NC,0.0,0.0,0.978620171546936,0.06831857562065125,0.0,0.0
cpa!=,1.0,1.0,0.021379945853707512,0.9316814342417052,1.0,1.0
cpl!=,0.5225672263086788,0.3535472428139106,0.35374532286677507,0.35374532286677507,0.35374532286677507,0.35374532286677507
cor!=,0.7612836131543395,0.6767736214069553,0.18756263436024126,0.64271337855424,0.6768726614333875,0.6768726614333875
cpa>,0.38798185173500566,1.0,0.0295437920482643,0.9502233784427199,1.0,0.01
cpl>,0.25784414794563754,0.5295794807882959,0.5298723033560582,0.5298723033560582,0.5298723033560582,0.0
cor>,0.32291299984032157,0.7647897403941479,0.2797080477021613,0.7400478408993891,0.7649361516780291,0.005
cpa<,0.343032420760961,1.0,0.012891502007589303,0.8740742860241154,1.0,0.0
cpl<,0.272521002672731,0.24637713054532098,0.24652032659072728,0.24652032659072728,0.24652032659072728,0.01
cor<,0.30777671171684595,0.6231885652726604,0.1297059142991583,0.5602973063074213,0.6232601632953637,0.005
cor_nosign,0.7612836131543395,0.6767736214069553,0.18756263436024126,0.64271337855424,0.6768726614333875,0.6768726614333875
cor_sign,0.3153448557785838,0.6939891528334042,0.20470698100065973,0.6501725736034052,0.6940981574866963,0.005
Time,0.026175181070963543,0.018697381019592285,0.02646287282307943,0.02461055914560954,0.0018401940663655598,0.005765954653422038
